iter	Passed	Remaining
689	1062	420
690	1063	418
691	1063	416
692	1064	414
693	1065	412
694	1065	410
695	1066	409
696	1067	407
697	1068	405
698	1069	403
699	1070	402
700	1071	400
701	1072	398
702	1073	397
703	1074	395
704	1075	393
705	1076	391
706	1077	390
707	1078	388
708	1078	386
709	1079	384
710	1080	382
711	1080	381
712	1081	379
713	1082	377
714	1083	375
715	1083	373
716	1084	372
717	1086	370
718	1087	368
719	1088	367
720	1089	365
721	1090	363
722	1091	362
723	1092	360
724	1092	358
725	1093	356
726	1094	355
727	1095	353
728	1096	351
729	1096	350
730	1097	348
731	1098	346
732	1099	344
733	1100	343
734	1100	341
735	1101	339
736	1102	338
737	1103	336
738	1104	334
739	1105	333
740	1105	331
741	1106	329
742	1107	328
743	1108	326
744	1109	324
745	1109	322
746	1110	321
747	1111	319
748	1112	317
749	1113	316
750	1113	314
751	1114	312
752	1115	311
753	1116	309
754	1116	307
755	1117	305
756	1118	304
757	1119	302
758	1119	300
759	1120	299
760	1121	297
761	1121	295
762	1122	294
763	1122	292
764	1123	290
765	1124	289
766	1125	287
767	1126	285
768	1126	284
769	1127	282
770	1128	280
771	1128	279
772	1129	277
773	1130	276
774	1131	274
775	1131	272
776	1132	271
777	1133	269
778	1134	267
779	1135	266
780	1136	264
781	1136	263
782	1137	261
783	1138	259
784	1138	258
785	1139	256
786	1140	255
787	1141	253
788	1141	251
789	1142	250
790	1143	248
791	1144	247
792	1144	245
793	1145	243
794	1145	242
795	1146	240
796	1147	238
797	1147	237
798	1148	235
799	1149	234
800	1149	232
801	1150	230
802	1151	229
803	1152	227
804	1152	226
805	1153	224
806	1154	223
807	1154	221
808	1155	219
809	1156	218
810	1156	216
811	1157	215
812	1158	213
813	1159	212
814	1160	210
815	1160	209
816	1161	207
817	1162	206
818	1163	204
819	1164	203
820	1164	201
821	1165	199
822	1166	198
823	1167	196
824	1167	195
825	1168	193
826	1169	192
827	1169	190
828	1170	189
829	1171	187
830	1171	186
831	1172	184
832	1173	183
833	1173	181
834	1174	180
835	1175	178
836	1175	176
837	1176	175
838	1176	173
839	1177	172
840	1178	170
841	1178	169
842	1180	168
843	1180	166
844	1181	164
845	1182	163
846	1182	161
847	1183	160
848	1184	158
849	1184	157
850	1185	156
851	1186	154
852	1187	153
853	1188	151
854	1188	150
855	1189	148
856	1190	147
857	1190	145
858	1191	144
859	1192	142
860	1193	141
861	1194	139
862	1194	138
863	1195	136
864	1196	135
865	1197	134
866	1198	132
867	1198	131
868	1199	129
869	1200	128
870	1201	126
871	1202	125
872	1203	124
873	1203	122
874	1204	121
875	1205	119
876	1206	118
877	1207	116
878	1208	115
879	1208	114
880	1209	112
881	1210	111
882	1210	109
883	1211	108
884	1211	106
885	1212	105
886	1213	103
887	1214	102
888	1215	101
889	1216	99
890	1217	98
891	1217	96
892	1218	95
893	1219	94
894	1220	92
895	1221	91
896	1222	89
897	1223	88
898	1224	87
899	1224	85
900	1225	84
901	1226	82
902	1227	81
903	1228	80
904	1229	78
905	1230	77
906	1230	75
907	1231	74
908	1232	73
909	1233	71
910	1233	70
911	1234	69
912	1234	67
913	1235	66
914	1236	64
915	1237	63
916	1238	62
917	1239	60
918	1239	59
919	1240	57
920	1241	56
921	1242	55
922	1243	53
923	1244	52
924	1244	51
925	1245	49
926	1246	48
927	1246	47
928	1247	45
929	1248	44
930	1248	42
931	1249	41
932	1250	40
933	1251	38
934	1251	37
935	1253	36
936	1254	34
937	1254	33
938	1255	32
939	1256	30
940	1256	29
941	1257	28
942	1257	26
943	1258	25
944	1258	23
945	1258	22
946	1260	21
947	1260	19
948	1260	18
949	1261	17
950	1261	15
951	1261	14
952	1262	13
953	1262	11
954	1263	10
955	1263	9
956	1263	7
957	1264	6
958	1264	5
959	1265	3
960	1265	2
961	1265	1
962	1266	0
